archivo,etiqueta,modelo,acuerdo,motivo
MAD72.txt,B,A,False,desacuerdo
MAD73.txt,D,D,True,ok
MAD74.txt,C,A,False,desacuerdo
MAD75.txt,D,A,False,desacuerdo
MAD76.txt,C,A,False,desacuerdo
MAD77.txt,D,B,False,desacuerdo
MAD78.txt,C,B,False,desacuerdo
MAD79.txt,C,A,False,desacuerdo
MAD80.txt,D,A,False,desacuerdo
MAD81.txt,D,A,False,desacuerdo
MAD82.txt,A,A,True,ok
MAD83.txt,B,A,False,desacuerdo
Test-A25.txt,C,C,True,ok
Test-A26.txt,A,A,True,ok
Test-A27.txt,B,B,True,ok
Test-A28.txt,A,A,True,ok
Test-A30.txt,D,A,False,desacuerdo
Test-A31.txt,D,A,False,desacuerdo
Test-A32.txt,D,A,False,desacuerdo
